# CfA FLWO 1.2m passbands from Jha et al. 2006, AJ, 131, 527
#
#   these are synthesized sensitivities:
#       = (Mirror^2)*DetectorQE*FilterTrans*Lambda
#     so these are ENERGY units -- divide by Lambda for PHOTON units
#
#     U-band also includes atmosphere (airmass=1.0); others don't, see text
#
#
#  U
295            0.000            0.000            0.000            0.000 
300            0.000            0.011            0.000            0.009 
305            0.000            0.060            0.000            0.048 
310            0.000            0.149            0.000            0.117 
315            0.002            0.264            0.002            0.206 
320            0.023            0.381            0.018            0.296 
325            0.089            0.493            0.067            0.382 
330            0.194            0.592            0.148            0.459 
335            0.326            0.673            0.250            0.527 
340            0.465            0.745            0.362            0.591 
345            0.595            0.815            0.472            0.659 
350            0.713            0.876            0.581            0.727 
355            0.814            0.924            0.686            0.794 
360            0.897            0.965            0.786            0.861 
365            0.960            0.991            0.878            0.924 
370            0.997            1.000            0.953            0.974 
375            1.000            0.981            1.000            1.000 
380            0.943            0.924            0.985            0.983 
385            0.816            0.808            0.888            0.896 
390            0.616            0.632            0.696            0.727 
395            0.384            0.421            0.448            0.501 
400            0.189            0.230            0.226            0.281 
405            0.071            0.101            0.086            0.125 
410            0.020            0.035            0.025            0.045 
415            0.005            0.011            0.006            0.014 
420            0.001            0.003            0.001            0.004 
425            0.000            0.001            0.000            0.001 
430            0.000            0.000            0.000            0.000 
#  B
345            0.000            0.000            0.000            0.000 
350            0.000            0.005            0.000            0.004 
355            0.000            0.040            0.000            0.027 
360            0.007            0.130            0.005            0.092 
365            0.040            0.255            0.030            0.188 
370            0.113            0.383            0.087            0.296 
375            0.215            0.494            0.174            0.399 
380            0.331            0.586            0.280            0.494 
385            0.443            0.661            0.390            0.581 
390            0.545            0.723            0.498            0.660 
395            0.631            0.774            0.597            0.729 
400            0.705            0.816            0.683            0.789 
405            0.767            0.851            0.758            0.840 
410            0.821            0.884            0.823            0.884 
415            0.866            0.913            0.876            0.921 
420            0.907            0.940            0.921            0.952 
425            0.938            0.960            0.953            0.973 
430            0.963            0.978            0.977            0.989 
435            0.981            0.990            0.991            0.997 
440            0.994            0.997            0.999            1.000 
445            1.000            1.000            1.000            0.997 
450            0.991            0.989            0.986            0.981 
455            0.977            0.973            0.967            0.961 
460            0.948            0.944            0.935            0.929 
465            0.896            0.894            0.882            0.877 
470            0.814            0.814            0.799            0.797 
475            0.711            0.715            0.696            0.698 
480            0.602            0.608            0.588            0.592 
485            0.488            0.497            0.475            0.482 
490            0.386            0.396            0.374            0.383 
495            0.305            0.315            0.295            0.303 
500            0.246            0.254            0.236            0.244 
505            0.183            0.191            0.174            0.182 
510            0.126            0.133            0.119            0.126 
515            0.087            0.093            0.082            0.087 
520            0.056            0.060            0.052            0.056 
525            0.034            0.037            0.031            0.034 
530            0.021            0.023            0.019            0.021 
535            0.015            0.018            0.013            0.016 
540            0.013            0.015            0.012            0.013 
545            0.014            0.015            0.012            0.014 
550            0.018            0.018            0.016            0.016 
555            0.025            0.024            0.022            0.021 
560            0.029            0.027            0.025            0.024 
565            0.025            0.024            0.022            0.021 
570            0.018            0.018            0.015            0.015 
575            0.009            0.009            0.008            0.008 
580            0.004            0.004            0.003            0.003 
585            0.001            0.001            0.001            0.001 
590            0.000            0.001            0.000            0.000 
595            0.000            0.000            0.000            0.000 
#  V
470            0.000            0.000            0.000            0.000 
475            0.000            0.010            0.000            0.011 
480            0.001            0.094            0.001            0.100 
485            0.040            0.285            0.043            0.304 
490            0.245            0.496            0.260            0.527 
495            0.531            0.662            0.562            0.700 
500            0.732            0.777            0.770            0.817 
505            0.845            0.854            0.883            0.892 
510            0.908            0.907            0.942            0.941 
515            0.946            0.944            0.975            0.971 
520            0.971            0.970            0.992            0.990 
525            0.988            0.987            1.000            0.999 
530            0.997            0.998            1.000            1.000 
535            1.000            1.000            0.994            0.994 
540            0.994            0.995            0.980            0.980 
545            0.981            0.981            0.959            0.959 
550            0.958            0.960            0.930            0.931 
555            0.925            0.930            0.891            0.895 
560            0.882            0.891            0.845            0.852 
565            0.829            0.841            0.789            0.800 
570            0.768            0.787            0.727            0.744 
575            0.700            0.723            0.659            0.680 
580            0.625            0.654            0.586            0.612 
585            0.548            0.581            0.511            0.541 
590            0.470            0.508            0.435            0.471 
595            0.393            0.435            0.363            0.401 
600            0.321            0.365            0.295            0.335 
605            0.256            0.300            0.233            0.273 
610            0.198            0.241            0.180            0.219 
615            0.149            0.190            0.134            0.171 
620            0.108            0.146            0.097            0.131 
625            0.076            0.110            0.068            0.098 
630            0.052            0.081            0.046            0.072 
635            0.034            0.058            0.030            0.051 
640            0.021            0.041            0.019            0.036 
645            0.013            0.028            0.011            0.024 
650            0.008            0.019            0.007            0.016 
655            0.004            0.013            0.004            0.012 
660            0.002            0.009            0.002            0.007 
665            0.001            0.005            0.001            0.005 
670            0.001            0.003            0.000            0.003 
675            0.000            0.002            0.000            0.002 
680            0.000            0.001            0.000            0.001 
685            0.000            0.001            0.000            0.001 
690            0.000            0.000            0.000            0.000 
#  R
540            0.000            0.000            0.000            0.000 
550            0.001            0.000            0.001            0.000 
560            0.173            0.129            0.179            0.135 
570            0.718            0.690            0.735            0.711 
580            0.944            0.927            0.958            0.947 
590            0.996            0.986            1.000            0.997 
600            1.000            0.999            0.994            1.000 
610            0.986            1.000            0.969            0.989 
620            0.960            0.993            0.933            0.971 
630            0.922            0.977            0.886            0.944 
640            0.876            0.952            0.833            0.910 
