SNID,IAUC,host,RA,Dec,RA_host,Dec_host,zhel,zcmb,zhelerr,zHD,zHDerr,PV,vpecerr,RA_group,Dec_group,zhel_group,zcmb_group,zHD_group,PV_group,in_group,has_host,is_SNz
2001ah,2001ah,UGC 06211,167.624250,55.160830,167.626460,55.169830,0.057763,0.058373,0.000015,0.05886,0.00088,-138,250,,,,,,,0,1,0
2001az,2001az,UGC 10483,248.615460,76.029670,248.620170,76.029720,0.040695,0.040593,0.000090,0.04101,0.00087,-121,250,,,,,,,0,1,0
2001da,2001da,NGC 7780,358.386580,8.117390,358.384040,8.118140,0.017381,0.016148,0.000007,0.01659,0.00085,-129,250,358.404510,7.930666,0.017816,0.016583,0.01702,-176,1,1,0
2001en,2001en,NGC 0523,21.345420,34.025140,21.336370,34.024940,0.015881,0.014937,0.000007,0.01509,0.00085,-46,250,21.041921,33.581505,0.016294,0.015343,0.01550,-46,1,1,0
2001fe,2001fe,UGC 05129,144.487920,25.494810,144.491670,25.494780,0.013514,0.014478,0.000008,0.01467,0.00085,-57,250,,,,,,,0,1,0
2001gb,2001gb,IC 0582,149.754000,17.820110,149.750960,17.817140,0.025439,0.026529,0.000011,0.02650,0.00086,9,250,,,,,,,0,1,0
2001G,2001G,MCG +08-17-043,137.388250,50.280920,137.387210,50.281860,0.016703,0.017272,0.000011,0.01770,0.00085,-127,250,,,,,,,0,1,0
2001ic,2001ic,NGC 7503,347.680580,7.569560,347.676170,7.567690,0.044089,0.042802,0.000009,0.04390,0.00087,-317,250,,,,,,,0,1,0
2001V,2001V,NGC 3987,179.353880,25.202500,179.337170,25.195390,0.015007,0.016045,0.000904,0.01570,0.00124,102,250,179.514560,25.171888,0.014883,0.015920,0.01557,102,1,1,0
2002bf,2002bf,CGCG 266-031,153.926290,55.668530,153.926040,55.667470,0.024376,0.024936,0.000007,0.02525,0.00085,-92,250,,,,,,,0,1,0
2002bz,2002bz,CGCG 163-041,216.168830,26.626310,216.168880,26.625170,0.037128,0.037813,0.000009,0.03827,0.00087,-131,250,,,,,,,0,1,0
2002ck,2002ck,UGC 10030,236.753120,-0.990420,236.751750,-0.985140,0.029742,0.030198,0.000011,0.02987,0.00086,95,250,,,,,,,0,1,0
2002cr,2002cr,NGC 5468,211.656620,-5.439420,211.645370,-5.453110,0.009417,0.010319,0.000193,0.01015,0.00086,51,250,210.948768,-5.973680,0.009062,0.009975,0.00980,130,1,1,0
2002de,2002de,NGC 6104,244.126580,35.708390,244.127870,35.708060,0.027894,0.028046,0.000013,0.02651,0.00086,448,250,244.293621,35.027778,0.030344,0.030497,0.02896,290,1,1,0
2002dj,2002dj,NGC 5018,198.251420,-19.519000,198.254290,-19.518190,0.009370,0.010426,0.000233,0.00948,0.00087,281,250,198.217887,-19.510463,0.009456,0.010512,0.00957,281,1,1,0
2002dp,2002dp,NGC 7678,352.126670,22.428890,352.116250,22.421190,0.011690,0.010491,0.000007,0.01061,0.00084,-34,250,,,,,,,0,1,0
2002eu,2002eu,2MASX J01494273+3237303,27.431670,32.628610,27.428000,32.625170,0.037626,0.036718,0.000334,0.03790,0.00093,-343,250,,,,,,,0,1,0
2002fk,2002fk,NGC 1309,50.523790,-15.400890,50.527330,-15.400060,0.007185,0.006680,0.000150,0.00719,0.00085,-153,250,,,,,,,0,1,0
2002G,2002G,CGCG 189-024,196.980250,34.085140,196.978370,34.087110,0.033650,0.034479,0.000010,0.03484,0.00086,-106,250,197.680106,34.276378,0.035491,0.036313,0.03668,-203,1,1,0
2002ha,2002ha,NGC 6962,311.827420,0.312670,311.829420,0.320810,0.014070,0.013065,0.000097,0.01346,0.00085,-116,250,311.825148,0.325254,0.013208,0.012204,0.01259,-113,1,1,0
2002he,2002he,UGC 04322,124.995120,62.820330,125.007250,62.830580,0.024564,0.024847,0.000080,0.02535,0.00086,-146,250,125.122824,62.769696,0.024407,0.024692,0.02519,-146,1,1,0
2002kf,2002kf,CGCG 233-023,99.313790,49.852830,99.319670,49.849890,0.019300,0.019478,0.000090,0.02001,0.00086,-157,250,,,,,,,0,1,0
2003ae,2003ae,2MASX J09282257+2726402,142.094080,27.444640,142.094120,27.444670,0.032750,0.033690,0.000008,0.03444,0.00086,-217,250,,,,,,,0,1,0
2003ch,2003ch,UGC 03787,109.491330,9.693030,109.489830,9.689330,0.028620,0.029246,0.000120,0.02981,0.00087,-164,250,109.251016,9.773012,0.028327,0.028948,0.02951,-71,1,1,0
2003cq,2003cq,NGC 3978,179.059040,60.521970,179.043000,60.522530,0.033194,0.033670,0.000018,0.03422,0.00086,-159,250,179.063992,60.493784,0.032754,0.033230,0.03378,-159,1,1,0
2003du,2003du,UGC 09391,218.649170,59.334390,218.654250,59.337810,0.006377,0.006644,0.000016,0.00747,0.00084,-245,250,,,,,,,0,1,0
2003fa,2003fa,ARK 527,266.032170,40.881000,266.035830,40.867310,0.040388,0.040148,0.000117,0.04056,0.00088,-120,250,,,,,,,0,1,0
2003hu,2003hu,2MASX J19113272+7753382,287.880830,77.893110,287.886620,77.893970,0.075000,0.074704,0.000090,0.07523,0.00090,-147,250,,,,,,,0,1,0
2001ay,2001ay,IC 4423,216.570830,26.248830,216.573920,26.246140,0.030254,0.030932,0.000009,0.03085,0.00086,25,250,,,,,,,0,1,0
2001bf,2001bf,CGCG 141-044,270.391620,26.250640,270.390040,26.252830,0.015607,0.015297,0.000130,0.01554,0.00086,-72,250,270.350825,26.239948,0.015869,0.015560,0.01580,-72,1,1,0
2001C,2001C,CGCG 285-012,104.900420,59.517110,104.892500,59.518580,0.010941,0.011096,0.000117,0.01136,0.00085,-78,250,,,,,,,0,1,0
2001cp,2001cp,UGC 10738,257.761040,5.841060,257.774370,5.852250,0.022416,0.022401,0.000021,0.02193,0.00085,137,250,257.785158,5.737430,0.022460,0.022446,0.02198,137,1,1,0
2001eh,2001eh,UGC 01162,24.550420,41.655220,24.564420,41.653970,0.037129,0.036266,0.000157,0.03725,0.00088,-283,250,,,,,,,0,1,0
2001ep,2001ep,NGC 1699,74.251080,-4.761170,74.248460,-4.756860,0.013129,0.013065,0.000150,0.01284,0.00086,66,250,74.128106,-4.747036,0.013122,0.013055,0.01283,66,1,1,0
2001fh,2001fh,WISEA J212042.46+442359.3,320.177080,44.398110,320.177000,44.399750,0.013303,0.012412,0.000048,0.01288,0.00085,-139,250,,,,,,,0,1,0
2001gc,2001gc,UGC 03375,88.858920,51.909500,88.855460,51.910610,0.019323,0.019350,0.000014,0.02008,0.00085,-214,250,,,,,,,0,1,0
