# ID zcmb
2016afk 0.0467237822208
2016W 0.0185635649993
ASASSN-15bc 0.0363947772109
ASASSN-15bm 0.0210854720405
ASASSN-15fa 0.0272168190203
ASASSN-15fs 0.0285168727329
ASASSN-15ga 0.00749894668422
ASASSN-15go 0.0192676226809
ASASSN-15hg 0.0310351788778
ASASSN-15hy 0.0170716822722
ASASSN-15il 0.0237334978565
ASASSN-15jl 0.0349203635469
ASASSN-15jt 0.023942426241
ASASSN-15kx 0.0169821350332
ASASSN-15la 0.0284355230103
ASASSN-15lg 0.0211929994331
ASASSN-15lu 0.0357490063119
ASASSN-15mf 0.0268891309567
ASASSN-15mg 0.0430626201102
ASASSN-15mi 0.0349960928173
ASASSN-15np 0.038299021618
ASASSN-15nq 0.0302537415896
ASASSN-15nr 0.0230937464341
ASASSN-15od 0.0167927603543
ASASSN-15oh 0.0158052282298
ASASSN-15pm 0.0478145895095
ASASSN-15pn 0.0380115517484
ASASSN-15pr 0.0319280005432
ASASSN-15py 0.0454517423596
ASASSN-15sb 0.0230017796219
ASASSN-15sf 0.0235178101291
ASASSN-15so 0.00772629339726
ASASSN-15ss 0.0359054920999
ASASSN-15tg 0.0344899369033
ASASSN-15ti 0.016718398498
ASASSN-15tz 0.022214988001
ASASSN-15uu 0.0258098544924
ASASSN-15uv 0.021025799052
ASASSN-15uw 0.0300567473417
ASASSN-16ad 0.0152315558457
ASASSN-16aj 0.0305289003243
ASASSN-16av 0.026732723945
ASASSN-16ay 0.0289337822053
ASASSN-16bc 0.033105858437
ASASSN-16bq 0.0258017664604
ASASSN-16br 0.0289949190821
ASASSN-16ch 0.0276738663716
ASASSN-16ci 0.0121912779124
ASASSN-16cs 0.0183798788363
ASASSN-16ct 0.0425009558264
ASASSN-16cy 0.0351307245087
ASASSN-16db 0.035857010845
ASASSN-16dn 0.0140476848408
ASASSN-16dw 0.0356210304232
ASASSN-16ej 0.0274434846081
ASASSN-16em 0.02296350663
ASASSN-16et 0.0254400825969
ASASSN-16ex 0.0413170660095
ASASSN-16fo 0.0299133823092
ASASSN-16fs 0.0298857475075
ASASSN-16hc 0.05161895677
ASASSN-16hr 0.0298288495526
